,Games,AtBase,Hits
31996,12,18,2
31997,108,331,80
31998,41,77,11
31999,17,25,3
32000,84,278,70
32001,147,562,133
32002,6,1,0
32003,15,54,13
32004,88,224,54
32005,150,458,114
32006,120,363,87
32007,42,102,25
32008,1,2,0
32009,30,11,1
32010,11,18,7
32011,28,22,6
32012,67,204,54
32013,30,32,4
32014,80,268,63
32015,18,58,12
32016,155,597,166
32017,1,0,0
32018,41,79,10
32019,71,194,39
32020,20,57,12
32021,154,607,182
32022,106,316,80
32023,28,23,3
32024,6,6,0
32025,4,15,2
32026,24,61,14
32027,40,93,16
32028,23,19,5
32029,1,0,0
32030,9,2,0
32031,134,500,150
32032,17,22,2
32033,118,407,81
32034,3,1,0
32035,20,39,9
32036,82,283,77
32037,1,2,0
32038,4,19,4
32039,24,27,2
32040,46,72,14
32041,9,3,1
32042,4,1,0
32043,123,428,116
32044,62,154,40
32045,18,30,4
32046,59,100,28
32047,16,19,4
32048,133,482,114
32049,25,53,13
32050,25,19,1
32051,33,84,9
32052,24,42,9
32053,139,514,141
32054,15,39,5
32055,10,16,2
32056,38,101,17
32057,155,595,157
32058,27,47,7
32059,11,13,3
32060,15,28,4
32061,54,131,38
32062,27,98,27
32063,27,20,1
32064,21,42,7
32065,15,8,0
32066,3,0,0
32067,94,311,76
32068,81,173,32
32069,8,1,0
32070,17,8,1
32071,2,1,0
32072,79,199,51
32073,15,41,4
32074,7,14,1
32075,3,2,1
32076,149,582,180
32077,4,11,2
32078,8,6,1
32079,1,3,0
32080,4,7,1
32081,21,42,5
32082,29,45,8
32083,53,113,27
32084,9,24,6
32085,16,17,4
32086,2,1,0
32087,23,6,0
32088,32,71,12
32089,24,43,10
32090,23,17,1
32091,5,2,0
32092,15,10,3
32093,19,33,8
32094,9,7,2
32095,50,147,44
32096,28,63,14
32097,47,42,4
32098,7,5,0
32099,28,49,9
32100,144,582,154
32101,7,22,8
32102,5,3,1
32103,21,7,2
32104,7,5,0
32105,31,84,7
32106,65,134,26
32107,16,3,0
32108,26,28,5
32109,18,10,2
32110,33,56,6
32111,126,420,107
32112,6,13,3
32113,76,249,61
32114,4,12,1
32115,18,31,4
32116,33,72,13
32117,140,515,151
32118,4,12,2
32119,3,5,1
32120,24,18,2
32121,37,52,11
32122,37,83,11
32123,1,0,0
32124,3,2,0
32125,9,3,0
32126,7,24,8
32127,79,241,58
32128,18,5,0
32129,4,0,0
32130,35,20,6
32131,2,1,0
32132,25,34,5
32133,2,0,0
32134,5,4,1
32135,14,9,2
32136,39,18,3
32137,42,96,20
32138,28,26,3
32139,9,6,2
32140,1,0,0
32141,3,5,1
32142,12,10,1
32143,118,484,109
32144,46,22,3
32145,26,7,1
32146,44,94,26
32147,139,510,150
32148,21,3,0
32149,34,94,14
32150,1,1,0
32151,146,545,142
32152,34,33,2
32153,128,458,118
32154,30,36,5
32155,121,435,99
32156,1,0,0
32157,59,134,28
32158,4,5,2
32159,26,53,9
32160,5,15,4
32161,68,258,58
32162,28,67,14
32163,1,0,0
32164,87,280,75
32165,82,274,68
32166,1,0,0
32167,3,2,1
32168,121,411,119
32169,68,204,60
32170,1,1,0
32171,28,59,17
32172,49,69,15
32173,59,179,56
32174,134,482,123
32175,113,328,110
32176,11,2,0
32177,23,55,11
32178,28,80,14
32179,65,89,20
32180,15,13,3
32181,2,0,0
32182,1,0,0
32183,1,0,0
32184,69,184,38
32185,52,130,28
32186,1,1,0
32187,3,2,0
32188,54,134,35
32189,37,78,15
32190,47,65,18
32191,11,19,1
32192,83,225,63
32193,142,534,169
32194,132,503,146
32195,6,19,4
32196,15,25,0
32197,50,104,32
32198,32,50,5
32199,151,583,158
32200,13,0,0
32201,12,25,7
32202,20,10,0
32203,5,6,2
32204,3,1,0
32205,100,275,66
32206,64,189,38
32207,92,292,78
32208,124,458,138
32209,140,486,128
32210,28,70,13
32211,2,0,0
32212,20,20,4
32213,141,540,169
32214,32,40,2
32215,108,323,75
32216,88,272,69
32217,81,304,81
32218,20,14,4
32219,27,31,5
32220,3,1,0
32221,48,124,16
32222,34,24,4
32223,14,32,8
32224,115,372,95
32225,45,115,24
32226,9,3,2
32227,25,4,0
32228,16,30,9
32229,15,9,1
32230,3,2,1
32231,14,3,0
32232,99,306,85
32233,148,532,136
32234,29,44,11
32235,32,71,13
32236,4,0,0
32237,111,333,82
32238,117,335,95
32239,32,24,6
32240,99,274,85
32241,30,55,5
32242,74,211,50
32243,6,5,0
32244,9,37,4
32245,13,15,1
32246,13,13,3
32247,2,0,0
32248,36,21,7
32249,26,32,4
32250,2,1,0
32251,15,13,1
32252,88,260,63
32253,99,224,51
32254,64,102,26
32255,4,11,1
32256,4,10,0
32257,6,5,0
32258,3,4,0
32259,112,376,79
32260,135,450,132
32261,7,3,0
32262,14,3,2
32263,48,161,37
32264,77,321,97
32265,2,5,1
32266,100,270,59
32267,7,22,3
32268,3,1,0
32269,3,3,0
32270,142,523,145
32271,26,32,4
32272,10,1,0
32273,14,39,8
32274,59,191,50
32275,4,5,1
32276,3,0,0
32277,37,56,11
32278,4,9,0
32279,33,65,7
32280,41,83,21
32281,2,3,0
32282,36,32,8
32283,33,47,6
32284,131,495,128
32285,22,47,11
32286,140,535,141
32287,92,323,92
32288,33,74,15
32289,35,26,6
32290,63,185,46
32291,2,7,1
32292,25,18,3
32293,89,251,63
32294,116,416,99
32295,3,1,0
32296,13,35,3
32297,34,36,8
32298,34,78,18
32299,1,1,0
32300,6,12,1
32301,42,79,6
32302,116,436,118
32303,51,156,40
32304,53,179,38
32305,32,57,14
32306,13,16,5
32307,48,166,47
32308,86,316,87
32309,5,3,2
32310,88,271,64
32311,32,44,6
32312,71,182,35
32313,49,139,31
32314,2,1,0
32315,150,565,142
32316,47,184,53
32317,75,252,77
32318,64,110,22
32319,35,22,4
32320,32,33,11
32321,29,53,11
32322,42,77,10
32323,18,60,13
32324,64,200,55
32325,3,4,1
32326,3,3,0
32327,98,354,75
32328,87,258,65
32329,2,2,0
32330,18,17,1
32331,20,58,12
32332,5,2,0
32333,21,12,0
32334,149,568,176
32335,2,0,0
32336,129,445,148
32337,1,2,1
32338,3,5,0
32339,31,43,12
32340,89,276,65
32341,29,31,3
32342,39,91,12
32343,10,8,2
32344,40,89,28
32345,1,1,0
32346,2,4,1
32347,2,1,0
32348,85,296,77
32349,5,6,0
32350,83,314,76
32351,29,22,5
32352,1,1,1
32353,28,37,5
32354,9,2,0
32355,24,79,21
32356,16,12,4
32357,6,8,2
32358,10,15,4
32359,14,35,7
32360,14,19,3
32361,46,79,25
32362,142,511,134
32363,82,221,49
32364,13,23,3
32365,39,10,1
32366,2,0,0
32367,150,538,148
32368,26,87,26
32369,105,434,142
32370,116,398,96
32371,21,8,1
32372,113,411,106
32373,38,64,15
32374,145,497,124
32375,33,19,1
32376,144,502,124
32377,23,93,18
32378,9,1,0
32379,28,16,5
32380,5,8,3
32381,52,136,36
32382,30,50,9
32383,3,0,0
32384,1,1,0
32385,123,482,135
32386,38,93,22
32387,10,2,0
32388,41,88,11
32389,29,10,0
32390,31,59,8
32391,17,3,0
32392,1,1,0
32393,1,4,2
32394,15,0,0
32395,14,20,3
32396,64,238,65
32397,142,519,156
32398,40,38,8
32399,2,5,1
32400,80,264,69
32401,3,5,1
32402,6,10,2
32403,155,587,149
32404,23,30,4
32405,8,3,0
32406,2,0,0
32407,85,239,58
32408,23,13,2
32409,6,25,5
32410,27,21,3
32411,88,242,57
32412,2,3,0
32413,8,12,2
32414,23,29,4
32415,25,47,8
32416,7,15,4
32417,16,45,10
32418,55,89,16
32419,26,53,9
32420,6,13,3
32421,150,582,170
32422,124,431,109
32423,102,332,86
32424,14,20,6
32425,6,5,0
32426,79,247,72
32427,66,176,45
32428,44,155,38
32429,28,62,15
32430,88,238,69
32431,43,61,14
32432,4,0,0
32433,30,87,22
32434,56,150,46
32435,144,540,139
32436,87,210,52
32437,102,312,78
32438,2,4,0
32439,5,14,0
32440,78,258,67
32441,61,171,35
32442,3,3,0
32443,8,12,1
32444,78,264,66
32445,27,18,5
32446,19,6,0
32447,87,262,63
32448,2,2,1
32449,2,2,0
32450,36,75,5
32451,146,498,116
32452,23,28,4
32453,131,510,144
32454,3,9,2
32455,6,11,3
32456,133,397,106
32457,29,25,2
32458,25,24,4
32459,7,4,0
32460,51,202,51
32461,61,153,46
32462,1,1,0
32463,4,5,2
32464,2,7,1
32465,135,504,143
32466,23,74,16
32467,59,164,43
32468,25,91,18
32469,92,308,109
32470,95,307,88
32471,15,37,8
32472,1,0,0
32473,136,484,109
32474,59,166,40
32475,41,77,24
32476,7,1,1
32477,24,28,3
32478,65,126,19
32479,3,3,0
32480,86,281,69
32481,72,207,48
32482,4,5,1
32483,91,291,75
32484,23,48,7
32485,91,299,58
32486,11,7,2
32487,9,22,6
32488,4,4,3
32489,1,0,0
32490,3,0,0
32491,11,44,19
32492,101,377,127
32493,12,6,0
32494,51,134,28
32495,11,13,1
32496,91,278,73
32497,56,168,46
32498,48,175,36
32499,7,26,5
32500,8,32,2
32501,12,35,13
32502,1,0,0
32503,114,378,96
32504,16,16,3
32505,19,11,0
32506,4,4,0
32507,93,276,68
32508,29,32,1
32509,10,16,4
32510,27,6,0
32511,6,19,4
32512,156,624,228
32513,15,34,8
32514,3,2,0
32515,13,45,12
32516,37,103,13
32517,10,19,2
32518,24,62,10
32519,112,375,87
32520,37,40,9
32521,105,296,65
32522,8,11,2
32523,8,18,2
32524,128,438,109
32525,17,23,7
32526,22,57,7
32527,12,32,7
32528,5,0,0
32529,1,0,0
32530,2,1,0
32531,46,94,25
32532,28,64,21
32533,64,160,34
32534,31,68,5
32535,92,299,78
32536,24,33,5
32537,19,30,5
32538,44,98,25
32539,65,234,66
32540,32,43,7
32541,31,43,8
32542,40,111,35
32543,21,49,10
32544,4,4,1
32545,5,5,1
32546,48,150,37
32547,22,71,15
32548,4,0,0
32549,153,621,208
32550,9,21,6
32551,17,68,24
32552,2,2,1
32553,30,14,3
32554,16,41,7
32555,84,247,62
32556,6,0,0
32557,4,6,1
32558,40,87,14
32559,19,3,0
32560,4,3,0
32561,23,52,12
32562,7,13,3
32563,138,511,130
32564,14,5,1
32565,4,14,2
32566,14,7,1
32567,39,60,10
32568,62,120,25
32569,2,4,1
32570,152,542,154
32571,2,0,0
32572,122,423,117
32573,35,63,14
32574,55,139,38
32575,6,20,3
32576,57,139,28
32577,16,62,18
32578,111,392,103
32579,1,4,0
32580,110,360,85
32581,15,26,4
32582,6,0,0
32583,126,471,121
32584,74,230,46
32585,48,169,39
32586,100,330,98
32587,8,30,12
32588,34,98,24
32589,21,15,1
32590,45,47,13
32591,121,424,120
32592,3,3,1
32593,100,310,87
32594,4,0,0
32595,14,5,0
32596,55,153,41
32597,95,293,82
32598,30,61,11
32599,3,2,0
32600,95,197,52
32601,8,25,3
32602,146,516,143
32603,80,274,57
32604,10,4,0
32605,143,502,121
32606,9,2,2
32607,40,94,28
32608,69,160,47
32609,80,259,63
32610,19,34,5
32611,3,7,2
32612,10,26,6
32613,40,41,5
32614,32,50,7
32615,32,36,3
32616,63,115,32
32617,1,1,0
32618,6,11,2
32619,16,1,0
32620,42,70,9
32621,142,606,170
32622,90,249,63
32623,42,57,22
32624,4,5,2
32625,24,26,1
32626,7,15,5
32627,33,43,10
32628,117,404,91
32629,124,406,107
32630,2,8,4
32631,15,14,2
32632,26,50,9
32633,35,51,10
32634,31,83,10
32635,1,0,0
32636,27,21,2
32637,13,21,6
32638,16,4,0
32639,83,235,61
32640,1,0,0
32641,156,609,183
32642,2,5,1
32643,24,45,8
32644,7,21,4
32645,47,86,26
32646,24,43,7
32647,152,578,169
32648,1,3,1
32649,91,291,71
32650,3,0,0
32651,14,19,0
32652,144,483,132
32653,3,4,1
32654,115,450,138
32655,122,432,107
32656,103,310,75
32657,129,487,122
32658,80,209,51
32659,32,52,8
32660,100,294,87
32661,128,455,128
32662,2,0,0
32663,42,107,25
32664,124,463,124
32665,2,3,1
32666,4,0,0
32667,87,280,68
32668,15,5,0
32669,39,7,1
32670,18,54,17
32671,63,185,47
32672,137,465,117
32673,80,217,47
32674,48,38,3
32675,88,299,76
32676,40,103,20
32677,32,95,17
32678,121,438,126
32679,92,152,31
32680,108,348,107
32681,33,73,18
32682,59,146,31
32683,1,0,0
32684,1,1,0
32685,138,473,130
32686,148,587,207
32687,36,55,9
32688,9,22,4
32689,13,9,1
32690,6,1,0
32691,8,11,1
32692,117,370,85
32693,113,441,134
32694,111,396,106
32695,150,576,184
32696,112,346,82
32697,63,194,38
32698,27,18,1
32699,4,4,0
32700,24,55,7
32701,39,69,11
32702,26,51,13
32703,32,41,11
32704,2,2,1
32705,11,10,1
32706,4,1,0
32707,64,169,37
32708,6,12,2
32709,45,127,24
32710,1,1,0
32711,72,202,43
32712,55,127,28
32713,14,4,1
32714,11,7,0
32715,104,265,69
32716,17,16,1
32717,44,78,16
32718,14,9,0
32719,4,4,0
32720,7,0,0
32721,40,24,5
32722,1,0,0
32723,4,5,1
32724,150,514,176
32725,1,0,0
32726,9,2,0
32727,82,284,75
32728,18,73,14
32729,21,39,4
32730,61,133,25
32731,25,48,8
32732,58,145,32
32733,36,59,18
32734,115,422,116
32735,25,47,15
32736,145,545,153
32737,40,74,18
32738,154,579,160
32739,8,25,2
32740,104,291,81
32741,21,20,4
32742,125,371,96
32743,78,280,81
32744,35,52,9
32745,3,2,0
32746,15,18,2
32747,1,0,0
32748,47,140,39
32749,81,217,59
32750,69,182,45
32751,37,89,18
32752,41,99,23
32753,7,0,0
32754,139,503,154
32755,1,0,0
32756,3,4,1
32757,13,8,2
32758,37,32,7
32759,21,23,2
32760,105,371,98
32761,6,4,1
32762,3,2,0
32763,28,27,3
32764,36,72,8
32765,56,161,32
32766,7,16,8
32767,151,643,182
32768,1,0,0
32769,9,7,0
32770,2,2,0
32771,11,11,1
32772,32,13,1
32773,2,0,0
32774,10,6,0
32775,38,26,6
32776,36,39,6
32777,90,306,80
32778,83,293,82
32779,28,58,7
32780,104,333,86
32781,2,0,0
32782,30,66,12
32783,33,106,13
32784,55,153,40
32785,88,316,79
32786,46,66,17
32787,33,45,7
32788,41,56,7
32789,150,538,165
32790,1,1,0
32791,25,36,7
32792,43,97,12
32793,44,64,14
32794,29,83,20
32795,1,2,0
32796,69,150,45
32797,15,34,8
32798,19,11,0
32799,21,67,12
32800,7,4,1
32801,34,24,3
32802,1,0,0
32803,4,0,0
32804,2,7,1
32805,40,7,0
32806,52,150,29
32807,38,18,3
32808,2,0,0
32809,4,1,1
32810,23,13,1
32811,36,80,12
32812,46,18,1
32813,13,50,14
32814,127,459,144
32815,15,2,0
32816,17,49,12
32817,149,551,139
32818,33,44,4
32819,7,23,5
32820,110,374,83
32821,44,16,2
32822,24,67,25
32823,11,42,21
32824,32,48,7
32825,110,343,89
32826,22,28,3
32827,17,68,15
32828,34,50,9
32829,10,13,0
32830,8,14,6
32831,13,16,4
32832,140,515,157
32833,132,529,145
32834,73,157,42
32835,15,16,3
32836,3,1,0
32837,51,49,5
32838,47,84,20
32839,77,214,53
32840,142,464,104
32841,3,2,0
32842,66,115,33
32843,6,4,2
32844,1,1,1
32845,46,168,39
32846,83,211,47
32847,47,80,17
32848,105,74,16
32849,11,16,1
32850,137,571,168
32851,136,513,145
32852,141,534,168
32853,33,77,16
32854,29,32,5
32855,4,1,0
32856,146,561,145
32857,38,32,2
32858,41,35,5
32859,2,0,0
32860,2,1,0
32861,30,27,1
32862,111,328,93
32863,87,214,48
32864,130,471,139
32865,108,393,102
32866,150,555,176
32867,11,2,1
32868,28,52,9
32869,139,541,149
32870,36,29,2
32871,40,60,15
32872,1,3,0
32873,14,41,10
32874,99,319,77
32875,126,460,136
32876,136,461,134
32877,26,46,9
32878,42,98,18
32879,83,209,43
32880,37,99,30
32881,52,99,27
32882,31,10,1
32883,9,9,3
32884,4,4,0
32885,103,281,68
32886,69,157,38
32887,28,44,10
32888,36,82,14
32889,7,3,0
32890,8,15,3
32891,9,14,1
32892,24,43,9
32893,24,28,5
32894,124,437,129
32895,1,0,0
32896,124,392,123
32897,9,8,0
32898,21,52,5
32899,77,183,47
32900,73,179,44
32901,27,13,0
32902,1,0,0
32903,34,51,15
32904,83,152,36
32905,25,33,2
32906,1,1,0
32907,37,62,11
32908,12,11,2
32909,155,562,153
32910,130,437,119
32911,31,10,2
32912,78,234,58
32913,125,402,100
32914,37,34,9
32915,16,1,0
32916,30,22,7
32917,2,0,0
32918,2,4,1
32919,25,48,7
32920,72,209,45
32921,46,22,6
32922,25,14,1
32923,156,616,183
32924,54,131,22
32925,135,482,138
32926,76,240,65
32927,31,59,8
32928,2,7,2
32929,3,8,1
32930,36,90,23
32931,101,277,70
32932,27,21,4
32933,15,28,5
32934,33,24,5
32935,3,1,0
32936,15,12,5
32937,34,94,29
32938,42,83,17
32939,146,524,147
32940,6,2,0
32941,5,13,2
32942,29,65,17
32943,37,55,8
32944,141,491,123
32945,135,378,94
32946,2,0,0
32947,24,43,5
32948,2,3,1
32949,142,550,158
32950,15,47,10
32951,79,189,52
32952,11,2,0
32953,37,27,6
32954,4,5,1
32955,46,72,10
32956,80,275,61
32957,28,77,12
32958,59,180,53
32959,4,4,2
32960,150,618,191
32961,134,430,124
32962,41,92,25
32963,23,40,12
32964,2,0,0
32965,76,214,59
32966,20,39,12
32967,32,40,2
32968,29,61,2
32969,56,106,32
32970,4,2,0
32971,20,21,3
32972,42,86,16
32973,18,45,7
32974,132,494,141
32975,120,402,104
32976,15,13,0
32977,46,44,12
32978,2,4,2
32979,36,30,1
32980,45,171,41
32981,109,404,95
32982,23,73,18
32983,15,16,2
32984,18,62,14
32985,151,540,111
32986,129,441,121
32987,44,64,12
32988,144,500,129
32989,14,40,8
32990,34,31,1
32991,27,6,1
32992,45,151,36
32993,152,588,188
32994,151,541,139
32995,2,2,0
32996,115,428,112
32997,34,48,8
32998,138,547,157
32999,34,62,8
33000,152,565,177
33001,29,26,3
33002,1,1,0
33003,58,19,2
33004,28,9,1
33005,9,10,1
33006,73,232,70
33007,6,1,1
33008,21,48,12
33009,3,4,0
33010,124,485,135
33011,39,78,10
33012,33,62,7
33013,11,27,4
33014,3,3,0
33015,146,513,159
33016,47,20,5
33017,4,9,1
33018,15,32,7
33019,35,60,13
33020,62,95,21
33021,158,602,127
33022,2,2,0
33023,55,182,29
33024,118,413,106
33025,3,1,0
33026,37,10,0
33027,3,0,0
33028,56,211,65
33029,41,69,18
33030,14,3,1
33031,21,29,6
33032,135,483,120
33033,47,56,18
33034,32,80,14
33035,2,9,4
33036,140,506,132
33037,127,476,131
33038,1,0,0
33039,91,226,59
33040,38,32,6
33041,19,33,7
33042,5,6,1
33043,2,2,1
33044,112,329,79
33045,11,32,7
33046,48,110,31
33047,36,66,16
33048,35,96,19
33049,61,126,33
33050,115,448,126
33051,12,12,1
33052,86,200,41
33053,11,20,6
33054,8,6,4
33055,15,10,2
33056,7,26,4
33057,2,5,0
33058,3,6,1
33059,1,0,0
33060,21,78,17
33061,1,1,0
33062,8,24,3
33063,141,479,134
33064,1,0,0
33065,33,7,1
33066,43,131,30
33067,35,98,15
33068,149,540,147
33069,155,587,171
33070,1,3,0
33071,126,411,125
33072,36,83,11
33073,16,30,9
33074,15,2,0
33075,142,535,149
33076,2,5,1
33077,56,166,45
33078,29,55,9
33079,15,40,9
33080,81,212,75
33081,92,284,81
33082,137,546,179
33083,86,234,59
33084,9,14,0
33085,39,95,20
33086,1,0,0
33087,144,517,157
33088,1,1,0
33089,75,150,46
33090,35,14,2
33091,123,453,137
33092,4,1,1
33093,108,373,90
33094,126,473,120
33095,23,12,3
33096,110,355,97
33097,21,42,8
33098,45,86,23
33099,151,545,146
33100,4,7,3
33101,123,493,156
33102,154,586,177
33103,127,460,130
33104,90,255,70
33105,96,274,43
33106,32,17,4
33107,71,192,48
33108,2,3,1
33109,1,0,0
33110,116,398,102
33111,31,57,6
33112,40,81,15
33113,32,11,3
33114,3,8,1
33115,149,587,183
33116,12,7,0
33117,6,4,1
33118,7,10,2
33119,40,96,19
33120,14,29,7
33121,17,42,4
33122,95,310,71
33123,148,487,119
33124,13,47,12
33125,110,311,91
33126,26,64,12
33127,4,4,0
33128,70,127,29
33129,28,47,7
33130,75,158,50
33131,129,513,155
33132,56,46,10
33133,3,0,0
33134,38,58,5
33135,15,18,1
33136,60,169,39
33137,19,14,0
33138,114,392,115
33139,74,231,47
33140,3,1,0
33141,155,638,207
33142,37,44,3
33143,39,47,16
33144,143,551,142
33145,16,36,10
33146,2,2,1
33147,23,26,6
33148,7,21,4
33149,4,8,0
33150,16,18,6
33151,2,0,0
33152,37,65,15
33153,13,13,3
33154,2,0,0
33155,32,35,9
33156,147,505,108
33157,5,1,0
33158,14,26,2
33159,18,9,2
33160,10,15,4
33161,19,37,6
33162,2,1,1
33163,15,40,10
33164,142,476,135
33165,110,388,120
33166,38,89,13
33167,13,45,14
33168,97,261,57
33169,19,21,4
33170,71,137,20
33171,16,5,0
33172,8,7,0
33173,130,531,142
33174,11,14,0
33175,109,324,93
33176,153,549,150
33177,95,266,62
33178,82,252,68
33179,95,318,78
33180,151,590,175
33181,38,40,5
33182,32,80,21
33183,102,359,93
33184,7,9,1
33185,113,384,106
33186,43,79,22
33187,14,24,5
33188,128,478,121
33189,26,52,8
33190,23,27,7
33191,12,48,12
33192,150,544,144
33193,40,107,37
33194,47,61,13
33195,34,54,11
33196,44,40,2
33197,33,50,6
33198,34,27,4
33199,110,363,96
33200,22,45,6
33201,7,14,1
33202,2,0,0
33203,29,20,1
33204,1,2,0
33205,38,68,9
33206,151,659,167
33207,2,1,0
33208,114,403,90
33209,43,38,7
33210,1,0,0
33211,82,216,37
33212,111,337,85
33213,10,8,1
33214,2,0,0
33215,24,40,5
33216,27,56,11
33217,5,13,2
33218,10,0,0
33219,26,19,3
33220,3,10,2
33221,1,2,1
33222,41,13,4
33223,46,74,15
33224,56,153,43
33225,147,551,162
33226,15,6,1
33227,8,6,1
33228,40,83,20
33229,41,98,16
33230,147,506,141
33231,4,0,0
33232,18,6,0
33233,8,1,0
33234,146,559,141
33235,4,3,1
33236,1,0,0
33237,31,27,3
33238,16,35,5
33239,150,562,157
33240,5,13,2
33241,148,571,146
33242,4,1,0
33243,32,21,1
33244,87,232,59
33245,145,528,127
33246,38,55,14
33247,49,133,34
33248,5,1,1
33249,97,279,70
33250,75,251,59
33251,4,6,0
33252,69,176,48
33253,33,62,8
33254,20,53,5
33255,90,291,87
33256,27,78,20
33257,15,6,0
33258,138,545,154
33259,3,1,0
33260,128,399,112
33261,1,0,0
33262,74,204,44
33263,90,274,66
33264,62,16,3
33265,34,68,11
33266,36,70,19
33267,89,254,60
33268,9,22,4
33269,112,370,111
33270,2,0,0
33271,31,57,5
33272,64,126,41
33273,155,540,154
33274,154,600,159
33275,11,15,2
33276,22,53,9
33277,78,155,34
33278,21,65,15
33279,71,191,55
33280,39,81,14
33281,130,514,150
33282,112,368,104
33283,148,529,162
33284,10,25,5
33285,130,488,181
33286,81,205,40
33287,20,45,12
33288,3,5,1
33289,1,1,0
33290,50,79,16
33291,1,0,0
33292,11,19,5
33293,102,333,96
33294,112,407,111
33295,6,12,5
33296,1,1,1
33297,7,13,3
33298,35,18,3
33299,4,10,4
33300,2,0,0
33301,48,128,30
33302,1,2,0
33303,51,99,23
33304,37,6,1
33305,3,2,0
33306,22,11,1
33307,156,528,181
33308,51,160,35
33309,34,99,14
33310,7,3,0
33311,13,9,0
33312,22,79,21
33313,6,24,2
33314,23,23,3
33315,124,401,130
33316,54,120,33
33317,128,454,124
33318,37,45,5
33319,48,184,39
33320,102,400,97
33321,115,428,102
33322,14,14,1
33323,95,364,103
33324,1,5,1
33325,127,380,85
33326,117,418,108
33327,35,58,10
33328,20,13,2
33329,12,32,6
33330,87,262,78
33331,5,11,3
33332,51,87,24
33333,1,0,0
33334,4,0,0
33335,139,497,156
33336,69,248,59
33337,117,463,154
33338,45,119,35
33339,104,335,72
33340,7,12,1
33341,2,1,0
33342,44,84,14
33343,34,39,7
33344,38,51,11
33345,46,118,37
33346,19,50,9
33347,128,415,123
33348,37,90,23
33349,25,81,16
33350,3,4,0
33351,1,0,0
33352,1,0,0
33353,34,28,3
33354,30,11,2
33355,66,147,28
33356,4,9,0
33357,125,469,143
33358,87,256,68
33359,33,49,10
33360,17,5,0
33361,17,41,4
33362,15,23,5
33363,47,26,5
33364,18,15,3
33365,22,48,11
33366,16,6,0
33367,121,415,108
33368,8,20,4
33369,70,176,42
33370,22,49,8
33371,6,5,2
33372,39,36,8
33373,152,560,199
33374,8,1,0
33375,9,12,2
33376,36,74,15
33377,45,55,8
33378,33,82,12
33379,39,76,18
33380,113,363,109
33381,54,145,35
33382,2,6,1
33383,2,1,0
33384,21,4,1
33385,16,9,3
33386,2,4,2
33387,31,46,15
33388,113,351,86
33389,25,5,0
33390,8,3,1
33391,83,279,72
33392,59,83,22
33393,35,22,8
33394,1,0,0
33395,22,7,0
33396,4,2,0
33397,111,334,93
33398,29,30,4
33399,123,445,115
33400,39,91,25
33401,34,16,4
33402,120,409,106
33403,45,6,0
33404,81,271,84
33405,9,12,3
33406,138,513,119
33407,33,74,9
33408,17,29,5
33409,68,210,51
33410,5,5,1
33411,90,224,62
33412,24,49,12
33413,1,0,0
33414,91,290,77
33415,87,258,66
33416,88,237,59
33417,4,4,0
33418,31,8,4
33419,17,14,4
33420,2,0,0
33421,16,20,2
33422,12,29,5
33423,48,89,15
33424,137,543,175
33425,4,0,0
33426,20,63,12
33427,18,29,5
33428,98,267,72
33429,43,96,27
33430,7,7,0
33431,4,2,0
33432,2,2,0
33433,153,644,207
33434,155,648,185
33435,153,594,190
33436,54,10,2
33437,38,84,17
33438,121,439,132
33439,140,527,150
33440,26,45,10
33441,9,4,1
33442,4,7,2
33443,13,5,0
33444,4,4,1
33445,19,7,0
33446,20,8,0
33447,38,42,7
33448,114,311,65
33449,97,246,54
33450,96,286,79
33451,55,160,43
33452,151,540,153
33453,1,2,0
33454,20,27,4
33455,152,589,171
33456,2,0,0
33457,3,1,0
33458,4,7,1
33459,2,0,0
33460,17,21,2
33461,93,228,59
33462,139,538,169
33463,145,520,146
33464,48,65,11
33465,44,95,9
33466,31,37,9
33467,37,15,1
33468,7,26,9
33469,102,262,70
33470,15,13,1
33471,29,82,14
33472,35,60,12
33473,3,13,2
33474,40,98,22
33475,1,0,0
33476,29,51,13
33477,108,364,108
33478,54,77,22
33479,27,42,7
33480,24,56,6
33481,1,0,0
33482,4,1,1
33483,46,66,19
33484,4,1,1
33485,14,6,2
33486,5,3,0
33487,24,54,13
33488,25,16,0
33489,77,221,54
33490,11,36,13
33491,127,445,138
33492,8,2,1
33493,144,550,154
33494,142,521,156
33495,2,1,1
33496,26,29,7
33497,22,22,6
33498,38,41,6
33499,2,0,0
33500,6,17,8
33501,32,21,2
33502,53,142,30
33503,61,25,1
33504,15,0,0
33505,16,29,4
33506,131,449,120
33507,4,2,0
33508,95,333,94
33509,3,0,0
33510,28,43,7
33511,2,1,0
33512,3,0,0
33513,129,446,116
33514,27,33,6
33515,36,20,1
33516,45,24,3
33517,11,4,0
33518,23,18,3
33519,20,32,2
33520,5,8,2
33521,43,56,10
33522,43,63,13
33523,133,458,110
33524,1,0,0
33525,27,50,8
33526,36,25,5
33527,115,364,116
33528,144,472,117
33529,27,37,5
33530,146,588,181
33531,133,400,116
33532,3,1,0
33533,33,19,3
33534,56,48,10
33535,22,16,6
33536,49,124,37
33537,134,481,120
33538,114,331,88
33539,40,21,2
33540,5,4,2
33541,2,0,0
33542,139,585,190
33543,120,392,109
33544,14,29,8
33545,43,56,11
33546,39,59,14
33547,12,7,1
33548,15,2,0
33549,76,112,23
